Date,Adj Close,Close,High,Low,Open,Volume
,GS,GS,GS,GS,GS,GS
2000-04-25,68.6575927734375,97.0625,97.875,87.5,88.625,1341500
2000-04-26,66.84497833251953,94.5,99.125,94.0,97.5625,1626100
2000-04-27,67.33126831054688,95.1875,96.25,90.375,91.5,1772400
2000-04-28,65.9607925415039,93.25,97.5,90.875,96.25,1145600
2000-05-01,68.61337280273438,97.0,101.625,93.25,93.25,2319300
2000-05-02,65.78398132324219,93.0,97.625,92.5,95.0,1666500
2000-05-03,64.4576416015625,91.125,95.75,89.6875,92.25,1931000
2000-05-04,63.794490814208984,90.1875,92.0,88.125,91.375,920700
2000-05-05,63.573463439941406,89.875,92.1875,87.4375,89.375,1378100
2000-05-08,61.760887145996094,87.3125,87.875,85.75,86.0,2817000
2000-05-09,60.567195892333984,85.625,87.0,84.75,86.0,1739100
2000-05-10,57.60516357421875,81.4375,83.6875,80.5625,83.0,2340600
2000-05-11,57.207279205322266,80.875,83.25,80.4375,81.5,2276000
2000-05-12,59.26301956176758,83.78125,84.875,80.25,80.25,1911200
2000-05-15,61.584022521972656,87.0625,88.0,83.8125,83.8125,1668900
2000-05-16,60.47880172729492,85.5,89.25,84.0,88.0,2538400
2000-05-17,59.904075622558594,84.6875,86.0,83.0,85.125,1231000
2000-05-18,60.30194091796875,85.25,87.5,83.875,83.875,1493000
2000-05-19,59.815696716308594,84.5625,85.0,82.125,84.25,1537500
2000-05-22,58.003047943115234,82.0,83.875,80.625,83.5,1345600
2000-05-23,58.577762603759766,82.8125,85.5,81.5,81.875,1203900
2000-05-24,56.58836364746094,80.0,83.625,79.5,82.625,1530200
2000-05-25,51.6368522644043,73.0,83.375,71.9375,80.5,4030100
2000-05-26,49.38217544555664,69.8125,73.375,69.375,73.125,2378100
2000-05-30,50.92951202392578,72.0,73.4375,70.625,71.5,2205300
2000-05-31,52.034759521484375,73.5625,74.875,71.125,72.0,1363800
2000-06-01,54.024192810058594,76.375,77.6875,73.625,74.5625,1684900
2000-06-02,61.45140838623047,86.875,87.25,83.5,84.5,3567900
2000-06-05,59.77145767211914,84.5,87.875,84.5,86.875,1576600
2000-06-06,58.7988395690918,83.125,85.125,81.75,84.0,1033200
2000-06-07,61.31877517700195,86.6875,88.0,82.375,82.875,1319900
2000-06-08,60.169349670410156,85.0625,87.625,85.0625,86.875,1255000
2000-06-09,58.887271881103516,83.25,86.5625,83.25,85.125,1006800
2000-06-12,58.931453704833984,83.3125,84.3125,81.75,83.3125,732800
2000-06-13,60.213531494140625,85.125,85.75,82.625,83.5,773200
2000-06-14,63.61767578125,89.9375,90.375,84.8125,85.1875,1953600
2000-06-15,63.83868408203125,90.25,90.8125,87.0,89.9375,2120900
2000-06-16,63.61767578125,89.9375,91.4375,87.625,90.25,1792300
2000-06-19,64.81132507324219,91.625,93.0,89.5,90.1875,2092900
2000-06-20,62.95451354980469,89.0,93.4375,87.375,91.5,2362600
2000-06-21,61.27457046508789,86.625,88.375,84.25,88.0,2875200
2000-06-22,59.59458923339844,84.25,86.625,82.0,86.625,1480100
2000-06-23,60.83243942260742,86.0,87.0,84.0,85.25,1616700
2000-06-26,62.070316314697266,87.75,88.0,85.75,86.75,1175700
2000-06-27,62.46825408935547,88.3125,89.375,87.625,87.75,1175700
2000-06-28,63.573463439941406,89.875,90.9375,88.0,88.0,1180400
2000-06-29,65.51869201660156,92.625,93.125,88.3125,90.125,1385400
2000-06-30,67.04393005371094,94.78125,95.9375,92.5625,93.0,2540600
2000-07-03,67.15443420410156,94.9375,94.9375,93.4375,94.375,453100
2000-07-05,67.86177825927734,95.9375,97.0,93.875,94.375,1077000
2000-07-06,65.91657257080078,93.1875,94.0,88.375,90.0,3343100
2000-07-07,67.15443420410156,94.9375,95.25,90.9375,93.1875,1265600
2000-07-10,69.0996322631836,97.6875,98.875,93.8125,94.875,1498700
2000-07-11,69.67440795898438,98.5,99.1875,97.0625,97.5625,1249100
2000-07-12,72.10594177246094,101.9375,104.25,100.125,100.125,2751000
2000-07-13,73.74169158935547,104.25,104.25,99.5,100.5,2207300
2000-07-14,73.69749450683594,104.1875,105.25,102.875,104.25,1143000
2000-07-17,70.7354507446289,100.0,104.125,100.0,104.0625,1225000
2000-07-18,73.47642517089844,103.875,104.25,101.125,102.0,2449700
2000-07-19,71.26596069335938,100.75,103.5625,100.3125,103.1875,874200
2000-07-20,73.43122100830078,103.6875,104.9375,101.0,101.0,1027700
2000-07-21,73.82962036132812,104.25,105.6875,102.8125,103.625,1155300
2000-07-24,74.62633514404297,105.375,106.9375,102.75,104.75,1457700
2000-07-25,75.0689697265625,106.0,106.75,103.6875,105.75,1092500
2000-07-26,75.02470397949219,105.9375,105.9375,102.75,105.625,1247400
2000-07-27,70.81979370117188,100.0,106.375,99.875,105.75,1299100
2000-07-28,69.75749206542969,98.5,101.0625,95.9375,100.125,1370800
2000-07-31,69.89028930664062,98.6875,98.9375,94.5,96.0,1734100
2000-08-01,71.26242065429688,100.625,102.25,97.0,99.0,1990600
2000-08-02,72.32469177246094,102.125,102.9375,99.25,99.25,13171500
2000-08-03,74.80340576171875,105.625,105.625,100.5,101.625,2700200
2000-08-04,78.78704071044922,111.25,112.9375,108.0,109.0,3709300
2000-08-07,80.77880096435547,114.0625,115.0,109.75,111.5,2457700
2000-08-08,80.02635955810547,113.0,115.3125,112.8125,114.0625,1984600
2000-08-09,81.39846801757812,114.9375,116.75,111.875,113.0,1488800
2000-08-10,79.31817626953125,112.0,116.75,111.375,115.375,1188900
2000-08-11,84.89520263671875,119.875,119.875,111.75,111.75,1489600
2000-08-14,85.51490783691406,120.75,121.75,116.625,118.0,2121700
2000-08-15,83.70008850097656,118.1875,120.8125,117.75,120.8125,1548900
2000-08-16,80.02635955810547,113.0,118.375,111.625,117.0,2521000
2000-08-17,84.00994873046875,118.625,118.875,113.0625,113.0625,1780400
2000-08-18,82.85914611816406,117.0,119.0,116.0,118.875,853900
2000-08-21,83.43455505371094,117.8125,118.75,116.25,116.9375,1082000
2000-08-22,84.89520263671875,119.875,121.5,117.75,117.9375,2178800
2000-08-23,84.27555084228516,119.0,119.75,118.0625,119.75,1650600
2000-08-24,83.74442291259766,118.25,120.875,117.9375,119.0625,1049600
2000-08-25,84.54109954833984,119.375,120.1875,117.125,118.5,984200
2000-08-28,86.7099609375,122.4375,124.5,118.25,118.25,1422700
